TUNING RESULTS OUTPUT,GA_Tuning_10_05_2022_23_25,,,,,,,,,,,,,,,,,,,,,,,,,,
Node Size,Src/Sink Size,Parallel Edges Size,Target Flow,OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,
133,5,1,384,14050.08044,,,,,,,,,,,,,,,,,,,,,,,
Pop Size,Generations,Init Dist,Init Params,Selection,Tourny Size,Crossover,Replacement,Mutation,Nudge Params,Mutate Rate,Path Select,Path Tourny,Path Order,Path Rank,Path Size,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Avg Value,Opt Gap
30,20,uniform,"[0.0, 1.0]",tournament,3,onePoint,replaceParents,randomTotal,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,15275.56161,14620.87837,14715.57307,14574.79858,14881.27959,15108.20301,15770.12717,14240.73158,14982.74507,14549.53762,14871.94357,5.849526134
30,20,uniform,"[0.0, 1.0]",tournament,3,onePoint,replaceParents,randomTotal,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14471.41464,14441.62345,14293.21632,14367.34906,14305.51561,14545.8221,14367.33946,14339.87085,14323.95165,14368.98276,14382.50859,2.366023104
30,20,uniform,"[0.0, 1.0]",tournament,3,onePoint,replaceParents,randomTotal,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14160.60681,14201.65394,14307.74283,14271.75549,14242.58562,14423.53401,14271.75505,14528.11268,14225.13549,14288.05485,14292.09368,1.72250429
30,20,uniform,"[0.0, 1.0]",tournament,3,onePoint,replaceParents,randomTotal,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14523.56734,14160.59216,14351.57382,14222.40829,14357.60065,14318.38171,14554.32713,14129.00817,14129.01507,14137.1823,14288.36566,1.69597054
30,20,uniform,"[0.0, 1.0]",tournament,5,onePoint,replaceWeakestTwo,randomTotal,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,15136.7561,14843.77534,14560.60074,14590.70588,14787.05765,14052.83599,14742.19318,15236.68584,15001.8715,14638.45141,14759.09336,5.046326442
30,20,uniform,"[0.0, 1.0]",tournament,5,onePoint,replaceWeakestTwo,randomTotal,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14183.55913,14346.20621,14872.0051,14656.34786,14547.24072,14627.96446,14412.698,14403.48618,14383.76289,14811.10032,14524.43709,3.376184577
30,20,uniform,"[0.0, 1.0]",tournament,5,onePoint,replaceWeakestTwo,randomTotal,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14052.8061,14214.1285,14421.57532,14252.00541,14408.26563,14197.93788,14389.92693,14540.46693,14475.56417,14470.89579,14342.35727,2.080250205
30,20,uniform,"[0.0, 1.0]",tournament,5,onePoint,replaceWeakestTwo,randomTotal,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14369.9851,14412.01528,14349.23709,14207.90635,14189.15259,14244.10093,14207.93571,14201.66952,14127.14765,14284.28501,14259.34352,1.489408424
30,20,uniform,"[0.0, 1.0]",tournament,5,onePoint,replaceParents,randomTotal,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14767.06264,14416.87859,15399.65196,14530.76529,15077.65528,15111.89413,14403.91219,14576.50074,15006.98077,14434.75526,14772.60569,5.142498998
30,20,uniform,"[0.0, 1.0]",tournament,5,onePoint,replaceParents,randomTotal,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14251.66894,14597.26311,14218.46935,14201.68206,14508.34707,14126.21241,14296.96615,14355.53884,14622.36055,14365.04721,14354.35557,2.165646884
30,20,uniform,"[0.0, 1.0]",tournament,5,onePoint,replaceParents,randomTotal,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14225.10085,14433.73771,14449.96825,14244.07357,14306.36659,14621.39763,14448.03273,14551.34627,14342.7345,14526.7307,14414.94888,2.596913534
